bookmark_id,bookmark_date,bookmark_title,bookmark_link,bookmark_image,bookmark_note
20,2018-04-01 12:12:52,The Ingenious Design Behind Apple’s Viral HomePod Ad,https://www.fastcompany.com/90165359/the-ingenious-design-behind-apples-viral-homepod-ad,,
19,2018-04-01 12:09:59,Charlotte Day Wilson - Doubt (LIVE),https://www.youtube.com/watch?v=qNfQV0fjQ7k,,
18,2018-03-31 18:09:09,"Daniel Caesar – ""Get You"" | Here For The Music | Fender",https://www.youtube.com/watch/?v=aWB4gR_IvJ4,,
17,2018-03-21 18:07:00,Jocelyn K. Glei on Ideation and Being Accountable in Your Projects,https://ownyourcontent.wordpress.com/2018/03/19/jocelyn-glei/,,
16,2018-03-17 18:04:37,The Best American Science Fiction and Fantasy 2017,https://www.goodreads.com/book/show/33413949-the-best-american-science-fiction-and-fantasy-2017,,
15,2018-02-19 18:01:33,Anxy No. 2: The Workaholism Issue - Anxy Magazine,https://anxymag.com/pages/issue-2-workaholism,,
14,2018-01-26 17:59:00,Telling Is Listening: Ursula K. Le Guin on the Magic of Real Human Conversation,https://www.brainpickings.org/2015/10/21/telling-is-listening-ursula-k-le-guin-communication/,,
13,2018-01-15 17:56:07,NYT | Inside One of America’s Last Pencil Factories,https://www.nytimes.com/2018/01/12/magazine/inside-one-of-americas-last-pencil-factories.html?smid=pin-share,,
12,2018-01-14 17:54:14,Fast Company Design | The Perfect Restaurant For Dining Alone,https://www.fastcompany.com/3068383/the-perfect-restaurant-for-dining-alone,,
11,2018-01-07 17:48:07,"HONNE & Izzy Bizu - ""Someone That Loves You""",https://www.youtube.com/watch?v=LQC3dBWS_FE,,
10,2018-01-06 17:47:05,Self-Knowledge by The School of Life,https://www.amazon.ca/Self-Knowledge-Essay-Books-School-Life-ebook/dp/B075ZYZNJ1,,
9,2017-12-30 17:43:19,"The National - ""Dark Side of the Gym""",https://www.youtube.com/watch?v=4ICyy1V6n4c,,
8,2017-12-29 17:39:14,Towards a future framework for fashion by Kate Fletcher,http://katefletcher.com/towards-a-future-framework-for-fashion/,,
7,2017-12-29 17:36:54,The Female Lead by Edwina Dunn & Brigitte Lacombe,https://www.amazon.ca/Female-Lead-Women-Shape-World/dp/1785033522,,
6,2017-12-29 17:34:19,Dark,https://www.netflix.com/ca/title/80100172?trkid=13752289&s=i,,
5,2017-12-29 17:33:46,The Problem of Psychological Asymmetry | The Book of Life,https://www.theschooloflife.com/thebookoflife/the-problem-of-psychological-asymmetry/,,
4,2017-12-28 21:27:48,Area X: The Southern Reach Trilogy,https://www.amazon.ca/dp/1443428450/ref=cm_sw_r_pi_dp_x_m2jgAbNTF33DD,,
3,2017-12-28 21:00:45,A Ghost Story (2017),https://en.wikipedia.org/wiki/A_Ghost_Story,,
2,2017-12-27 20:56:21,Offscreen Magazine – Issue 18,https://www.offscreenmag.com/issues/18,,
1,2017-12-27 20:48:29,Becoming Wise by Krista Tippett,https://www.amazon.ca/Becoming-Wise-Inquiry-Mystery-Living-ebook/dp/B011IUSPIE,,
